campaign_id,subject,content,send_date,status,open_rate,click_rate,unsubscribes
f6d266ff-95e9-4d16-b54d-f057b3794aa5,Million body mission better whatever common action entire prepare natural pattern down,Staff especially forward understand. Full democratic manager however stock. Assume professor everything age. Loss forward matter.,2021-01-16 00:00:00,scheduled,0,0,0
57be1a76-3fcd-4eb0-b6ac-b17b96c0dbf5,Single finish official news character body notice campaign guess buy,Lawyer hold side visit safe. Pick information order single within daughter southern miss. Region approach teacher stop. Away chance improve try under place only. Kitchen public herself himself town. Laugh culture majority I feel. Despite travel process relate security instead general. Official while administration thus else good effort.,2022-05-24 00:00:00,scheduled,0,0,0
ae32122d-dae0-487d-87e5-3621e5cc3b21,Send mention ground season woman summer our focus page parent fill,Use attorney reduce hotel minute mouth meeting tree. Common movement glass move street record.,2024-11-21 00:00:00,scheduled,0,0,0
649193eb-21fe-404d-be1c-82f39bb3ea88,Wish statement church we real,Mind difference alone art. Without gun college talk. Very laugh voice boy city her perform stop. Success heavy good base. Expect walk coach. Painting chair responsibility house visit again music. Recently piece high image. Win represent not reach quality. Traditional bill case life enjoy family environment.,2023-02-08 00:00:00,sent,61.9,31.17,7
cafdd4ef-3b52-4bae-b94a-61e641d29842,Produce few room start success need find six of television,There activity record. End fire significant such. Imagine in fact foot relate arm foreign. Clearly mention physical light address election. Adult friend significant character. Price seat whether mother degree table. Item contain itself war us at none.,2024-11-18 00:00:00,draft,0,0,0
89b82353-a3da-4526-b277-c7b93441046e,Lawyer I expect small within professor bed,Truth yes level point. Parent including it report able and. Health thus establish talk suddenly policy. Argue less marriage. Easy sport friend summer up prevent both. Challenge book occur son turn father serious.,2020-12-15 00:00:00,sent,40.36,25.23,21
d65dd7b2-9a5f-450f-aa0d-dc50c0841026,Raise boy mother debate mission father tree everything nearly walk computer,History improve popular factor ball direction. Already learn why anyone recently federal. Record design middle picture fall view. Political factor force. Future check point simple sport little. Lay six soon also hair guess board. Skin pass town attack party measure. Break member fast unit front.,2022-09-09 00:00:00,scheduled,0,0,0
20d8c6bf-51dd-4a48-9bd7-934bb61eabae,Morning although,Memory return improve risk action parent arrive. Federal PM news baby. Him big street project itself phone. Oil artist under still arm anyone catch. By production top land paper least evening. Mr such structure along early.,2024-12-10 00:00:00,sent,60.3,21.27,20
881885cb-211b-4ec6-9761-86ae2b2a96b1,Expert hospital discussion car become east stop,Could environment rate art again body attention. Character catch could mind left picture everyone.,2021-04-06 00:00:00,scheduled,0,0,0
081a8dd8-6b2d-469e-b9b3-40e7cb64dcf8,Wide kid week reality,Loss east plan after something drop thank this. Sign particular best wrong then. Song thus him.,2023-03-31 00:00:00,scheduled,0,0,0
